2026-03-22 20:27:36,385 | INFO | grasp_system | 夹爪闭合至 0.0100 位置，施加力 200.00
2026-03-22 20:27:37,044 | INFO | grasp_system | 仿真连接已断开
2026-03-22 20:28:21,093 | INFO | grasp_system | 仿真环境初始化完成，robot_id=1, object_id=2
2026-03-22 20:28:21,093 | INFO | grasp_system | 开始执行抓取任务
2026-03-22 20:28:22,122 | INFO | grasp_system | 视觉定位完成 raw=[0.8117 0.1115 0.0499] corrected=[0.8117 0.1115 0.0199] true=[0.8    0.1    0.0249] raw_err=0.0299 corrected_err=0.0171
2026-03-22 20:28:22,126 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:28:22,128 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.1999156984584778)] steps=240
2026-03-22 20:28:25,844 | INFO | grasp_system | 机械臂下降到抓取位姿 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)]
2026-03-22 20:28:25,845 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)] steps=240
2026-03-22 20:28:29,558 | INFO | grasp_system | 开始固定力抓取 force=200.00
2026-03-22 20:28:29,558 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:28:30,485 | INFO | grasp_system | 夹爪闭合至 0.0100 位置，施加力 200.00
2026-03-22 20:28:31,109 | INFO | grasp_system | 抓取前状态 - 接触点数量: 5, 总正压力: 399.2305, 平均摩擦系数: 0.333
2026-03-22 20:28:32,538 | INFO | grasp_system | 抓取完成 - 接触点数量: 6, 总正压力: 399.0067, 侧向摩擦力: -27.6053, 旋转摩擦力: 0.0000, 平均摩擦系数: 0.333
2026-03-22 20:28:35,336 | INFO | grasp_system | 机械臂抬升目标 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)]
2026-03-22 20:28:35,337 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)] steps=240
2026-03-22 20:28:39,058 | INFO | grasp_system | 抓取任务完成
2026-03-22 20:28:39,105 | INFO | grasp_system | 仿真连接已断开
2026-03-22 20:29:25,078 | INFO | grasp_system | 仿真环境初始化完成，robot_id=1, object_id=2
2026-03-22 20:29:25,078 | INFO | grasp_system | 开始执行抓取任务
2026-03-22 20:29:26,094 | INFO | grasp_system | 视觉定位完成 raw=[0.8117 0.1115 0.0499] corrected=[0.8117 0.1115 0.0199] true=[0.8    0.1    0.0249] raw_err=0.0299 corrected_err=0.0171
2026-03-22 20:29:26,098 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:29:26,100 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.1999156984584778)] steps=240
2026-03-22 20:29:29,810 | INFO | grasp_system | 机械臂下降到抓取位姿 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)]
2026-03-22 20:29:29,811 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.03991569845847781)] steps=240
2026-03-22 20:29:33,533 | INFO | grasp_system | 开始固定力抓取 force=200.00
2026-03-22 20:29:33,533 | INFO | grasp_system | 夹爪打开 target_pos=0.0400 force=80.00
2026-03-22 20:29:34,459 | INFO | grasp_system | 夹爪闭合至 0.0100 位置，施加力 200.00
2026-03-22 20:29:35,073 | INFO | grasp_system | 抓取前状态 - 接触点数量: 5, 总正压力: 399.2305, 平均摩擦系数: 0.333
2026-03-22 20:29:36,465 | WARNING | grasp_system | 无法获取物体动力学参数: float() argument must be a string or a number, not 'tuple'
2026-03-22 20:29:36,466 | INFO | grasp_system | 抓取完成 - 接触点数量: 6, 总正压力: 399.0067, 侧向摩擦力: -27.6053, 旋转摩擦力: 0.0000, 平均摩擦系数: 0.333
2026-03-22 20:29:39,262 | INFO | grasp_system | 机械臂抬升目标 [np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)]
2026-03-22 20:29:39,263 | INFO | grasp_system | 机械臂移动 target_pos=[np.float64(0.8116559722592881), np.float64(0.11145167950639329), np.float64(0.2899156984584778)] steps=240
2026-03-22 20:29:42,973 | INFO | grasp_system | 抓取任务完成
